,Open,High,Low,Close,Volume,return_1d,return_lag1,return_lag2,return_lag3,return_lag4,return_lag5,return_5d,return_10d,ma5_ratio,ma10_ratio,ma20_ratio,ma50_ratio,ma_cross_5_20,vol_5d,vol_10d,vol_20d,rsi_14,macd,macd_hist,bb_position,hl_range,co_change,vol_change,vol_ma_ratio,dayofweek,target
2023-07-02 00:00:00+00:00,30590.0,30785.0,30175.0,30616.0,1091.402,0.00078451633,0.0040369034,0.0008212328,0.012134671,-0.020100355,0.013939381,-0.002606213,0.024323344,0.00578186596583441,0.004096277274352245,0.06346173885859185,0.10813831604672308,0.05734829275070341,0.011914085210233686,0.013109663809191065,0.022176915394724057,82.22791679228219,0.03284503754633112,0.004299623932724779,0.4314671485246636,0.019924223,0.00084995094,0.8071519,-0.5515743395039838,6,1
2023-07-03 00:00:00+00:00,30616.0,31378.0,30587.0,31158.0,1549.4934,0.017703176,0.00078451633,0.0040369034,0.0008212328,0.012134671,-0.020100355,0.03587222,0.014389873,0.016381891844283958,0.020392791294010504,0.07255715967532073,0.12431719327011836,0.05526984323687967,0.0075243933677688075,0.01122574005272091,0.022191103582792922,82.33443212466287,0.0329940916401526,0.0039561852270287735,0.5095960667068103,0.025386738,0.017703163,0.41972756,-0.35879376313737443,0,0
2023-07-04 00:00:00+00:00,31165.0,31327.0,30637.0,30771.0,848.52454,-0.012420595,0.017703176,0.00078451633,0.0040369034,0.0008212328,0.012134671,0.010740995,0.0073000193,0.0016210304284989263,0.006983532738173093,0.0490447423327105,0.10747124699297328,0.04734696103966951,0.010739971254136083,0.011899325871537447,0.020738555082436542,71.97566213314245,0.03259656025684725,0.0025547604600002433,0.3823567735279797,0.02242371,-0.012642387,-0.45238584,-0.6345085242185622,1,0
2023-07-05 00:00:00+00:00,30767.0,30866.0,30206.0,30501.0,1179.4894,-0.008774519,-0.012420595,0.017703176,0.00078451633,0.0040369034,0.0008212328,0.0010502338,0.00078749657,-0.00737447766828514,-0.0019306282722513224,0.031177735405087503,0.09502337169977948,0.03883862766576063,0.011845086855914419,0.012256447746063806,0.021087800314472806,55.90778097982709,0.031161993708729796,0.0006834070636684267,0.2754057687066207,0.021638636,-0.008645627,0.39004743,-0.4726302454055723,2,0
2023-07-06 00:00:00+00:00,30498.0,31500.0,29868.0,29912.0,3087.6338,-0.019310832,-0.008774519,-0.012420595,0.017703176,0.00078451633,0.0040369034,-0.022228062,-0.011957467,-0.022215248630342965,-0.020043375988572865,0.005183523619897379,0.07194717958053864,0.028021271769538947,0.01432854475503134,0.013614647934803636,0.021406812476336023,50.248219296352254,0.0284660890941017,-0.0020901234094208845,0.05175375358964633,0.054560043,-0.019214375,1.6177716,0.3643437949649737,3,1
2023-07-07 00:00:00+00:00,29901.0,30445.0,29722.0,30348.0,1886.4711,0.014576077,-0.019310832,-0.008774519,-0.012420595,0.017703176,0.00078451633,-0.008753598,-0.011336982,-0.006221756500098263,-0.004624618714946349,0.013295581272662949,0.08482728840362963,0.019639530147112838,0.016707037088415585,0.013694148711111605,0.02148089099945195,45.662423385195666,0.026327770780413717,-0.0030315603205844774,0.1552760524683471,0.023823645,0.014949333,-0.38902372,-0.1796667935781776,4,0
2023-07-08 00:00:00+00:00,30348.0,30383.0,30056.0,30293.0,602.99396,-0.0018123388,0.014576077,-0.019310832,-0.008774519,-0.012420595,0.017703176,-0.027761757,0.007114649,-0.0023711509962127675,-0.007125439194504257,0.00482793735456899,0.08023546729731823,0.007216199048344141,0.01290341219244393,0.011982251812391827,0.021357692181790074,46.912085250666024,0.024572793094405937,-0.003871874269151398,0.07573444218609936,0.010794573,-0.0018123105,-0.68035877,-0.7354714188226703,5,0
2023-07-09 00:00:00+00:00,30293.0,30439.0,30073.0,30167.0,640.4848,-0.004159391,-0.0018123388,0.014576077,-0.019310832,-0.008774519,-0.012420595,-0.019628882,-0.009098649,-0.002552555531308509,-0.010356694124864285,-0.0048393960486512455,0.07340592086535724,-0.0022926927428852384,0.012319148284407694,0.011357266448717152,0.021311743259285063,46.29541108986616,0.022642705443949904,-0.004736614534202423,-0.1298184157287645,0.012132463,-0.004159377,0.06217444,-0.7115037252524106,6,1
2023-07-10 00:00:00+00:00,30170.0,31037.0,29964.0,30421.0,1899.4855,0.008419752,-0.004159391,-0.0018123388,0.014576077,-0.019310832,-0.008774519,-0.0026228428,-0.0015753508,0.00637815020411403,-0.0018669265270901958,6.57483809460846e-05,0.07962332960221352,-0.006272395542259779,0.012998093797368647,0.011729989107606335,0.017983681707004515,51.73553719008264,0.021284533648170383,-0.00469294625870103,0.003195538026852635,0.035271686,0.008319522,1.9656994,-0.12015176969700736,0,1
2023-07-11 00:00:00+00:00,30417.0,30804.0,30310.0,30621.0,1275.0188,0.0065743923,0.008419752,-0.004159391,-0.0018123388,0.014576077,-0.019310832,0.02370286,0.00094795227,0.008264734935791829,0.00459961680795784,0.005628973779622681,0.08382484943042656,-0.0026141558509799045,0.0076776336343983426,0.011856089683175893,0.012281277236462378,49.06553700473461,0.02051557659254355,-0.004233785843876015,0.285280647822549,0.01613272,0.0067067756,-0.32875568,-0.3360823944382567,1,0
