,Open,High,Low,Close,Volume
2017-10-07 00:00:00+00:00,4356.09,4463.0,4312.82,4423.3,4646.406
2017-10-08 00:00:00+00:00,4422.72,4612.0,4404.5,4597.98,10083.867
2017-10-09 00:00:00+00:00,4597.97,4865.0,4541.0,4764.7,12923.667
2017-10-10 00:00:00+00:00,4761.67,4909.97,4700.0,4749.29,11666.025
2017-10-11 00:00:00+00:00,4747.9,4869.78,4700.0,4822.01,9866.8955
2017-10-12 00:00:00+00:00,4822.01,5445.0,4793.66,5445.0,19916.229
2017-10-13 00:00:00+00:00,5444.0,5846.43,5380.0,5653.6,27827.38
2017-10-14 00:00:00+00:00,5653.58,5817.34,5558.26,5801.29,8410.937
2017-10-15 00:00:00+00:00,5795.01,5830.0,5415.0,5679.7,11542.946
2017-10-16 00:00:00+00:00,5683.92,5807.11,5548.0,5745.72,9066.8
2017-10-17 00:00:00+00:00,5752.2,5776.31,5506.78,5597.31,9105.282
2017-10-18 00:00:00+00:00,5591.97,5617.75,5101.36,5582.05,18961.676
2017-10-19 00:00:00+00:00,5572.64,5735.14,5512.06,5698.69,9919.838
2017-10-20 00:00:00+00:00,5700.0,6074.0,5589.8,5977.29,15109.063
2017-10-21 00:00:00+00:00,5977.26,6180.0,5871.0,6013.46,15357.424
2017-10-22 00:00:00+00:00,6010.85,6071.07,5700.0,5969.0,12232.523
2017-10-23 00:00:00+00:00,5967.38,6045.34,5617.75,5871.17,15331.635
2017-10-24 00:00:00+00:00,5869.82,5870.0,5453.01,5523.4,17286.725
2017-10-25 00:00:00+00:00,5518.49,5748.0,5366.0,5735.88,12349.106
2017-10-26 00:00:00+00:00,5741.35,5988.0,5683.0,5890.0,11788.303
2017-10-27 00:00:00+00:00,5889.99,5994.06,5674.06,5771.89,11911.042
2017-10-28 00:00:00+00:00,5773.03,5875.66,5646.18,5730.69,5926.2974
2017-10-29 00:00:00+00:00,5731.7,6316.85,5683.0,6137.37,16086.626
2017-10-30 00:00:00+00:00,6133.01,6229.77,6024.03,6119.99,9574.644
2017-10-31 00:00:00+00:00,6120.0,6449.78,6072.81,6434.21,13423.309
2017-11-01 00:00:00+00:00,6434.24,6756.36,6340.01,6741.59,12967.222
2017-11-02 00:00:00+00:00,6745.04,7354.1,6700.0,7030.0,26514.65
2017-11-03 00:00:00+00:00,7030.0,7500.0,6925.22,7146.82,15999.784
2017-11-04 00:00:00+00:00,7145.24,7569.9,6994.0,7388.83,9200.114
2017-11-05 00:00:00+00:00,7388.79,7590.0,7275.16,7372.72,9218.327
2017-11-06 00:00:00+00:00,7373.3,7421.39,6922.07,6967.68,19323.129
2017-11-07 00:00:00+00:00,6967.64,7244.69,6945.0,7130.28,11634.266
2017-11-08 00:00:00+00:00,7131.38,7888.0,7080.01,7450.32,24679.72
2017-11-09 00:00:00+00:00,7465.06,7490.0,7061.2,7148.0,14799.266
2017-11-10 00:00:00+00:00,7150.61,7343.18,6429.44,6588.18,26614.275
2017-11-11 00:00:00+00:00,6588.18,6820.0,6218.0,6355.13,14942.702
